Date,Close/Last,Volume,Open,High,Low
07/21/2025,86.00,40019530,86.215,86.505,85.96
07/18/2025,85.24,27534950,85.43,85.46,85.10
07/17/2025,85.11,31875450,85.22,85.485,84.99
07/16/2025,85.13,65987690,85.275,85.6566,84.19
07/15/2025,85.01,40454990,85.89,85.91,84.90
07/14/2025,85.61,24609530,85.54,85.88,85.315
07/11/2025,85.79,40764790,86.23,86.27,85.64
07/10/2025,86.99,24525550,86.83,87.06,86.485
07/09/2025,86.93,29821890,86.19,86.93,86.175
07/08/2025,86.03,31406990,85.57,86.04,85.44
07/07/2025,86.14,38314670,86.54,86.56,85.92
07/03/2025,86.97,26729100,87.165,87.29,86.85
07/02/2025,87.58,39382250,87.19,87.59,87.10
07/01/2025,88.14,38960580,88.13,88.31,87.66
06/30/2025,88.25,53695170,87.86,88.435,87.61
06/27/2025,87.39,74993500,87.57,88.16,87.235
06/26/2025,87.95,30467520,87.59,87.95,87.20
06/25/2025,87.51,26345290,87.11,87.51,86.80
06/24/2025,87.40,32959110,86.47,87.59,86.425
06/23/2025,86.77,36851820,86.93,87.4407,86.77
06/20/2025,86.49,26001910,86.14,86.79,85.95
06/18/2025,86.65,38588980,86.88,87.09,86.35
06/17/2025,86.50,34521570,86.00,86.66,85.75
06/16/2025,85.46,36496630,86.08,86.43,85.46
06/13/2025,86.33,49373980,86.73,86.875,85.775
06/12/2025,87.17,43017810,86.89,87.20,86.60
06/11/2025,86.14,36334820,85.81,86.40,85.71
06/10/2025,85.88,24857000,86.095,86.1774,85.515
06/09/2025,85.44,26560750,85.04,85.64,85.035
06/06/2025,85.35,38130100,85.79,85.925,85.275
06/05/2025,86.45,37715270,86.68,86.93,86.22
06/04/2025,86.39,57441530,85.79,86.65,85.645
06/03/2025,85.01,33731260,85.44,85.735,84.885
06/02/2025,85.16,46213110,85.29,85.47,84.79
05/30/2025,86.28,49042060,86.085,86.47,85.88
05/29/2025,86.15,39003620,85.77,86.26,85.64
05/28/2025,85.36,34806780,85.41,85.5372,84.97
05/27/2025,85.73,56773410,85.35,86.025,85.15
05/23/2025,84.55,47139250,84.77,84.82,84.305
05/22/2025,84.41,61747850,83.521,84.43,83.295
05/21/2025,83.97,77053060,84.68,85.055,83.7601
05/20/2025,85.43,35493070,85.425,85.60,85.06
05/19/2025,86.05,49361880,84.91,86.116,84.83
05/16/2025,86.30,31778180,86.87,86.89,86.195
05/15/2025,86.07,59447990,85.63,86.32,85.48
05/14/2025,85.32,42119810,85.75,85.87,85.20
05/13/2025,85.89,53912160,86.13,86.285,85.50
05/12/2025,86.24,32115030,86.38,86.78,86.19
05/09/2025,87.05,17007870,87.00,87.31,86.92
05/08/2025,86.92,25483680,88.015,88.06,86.89
05/07/2025,87.90,23178420,87.92,88.21,87.82
05/06/2025,87.53,21095150,86.80,87.53,86.64
05/05/2025,87.24,22862810,87.345,87.405,86.83
05/02/2025,87.73,32090380,87.71,88.0674,87.54
05/01/2025,88.69,29932840,89.26,89.28,88.30
04/30/2025,89.47,42630590,89.78,90.05,89.33
04/29/2025,90.20,22129480,89.32,90.21,89.295
04/28/2025,89.45,20130510,88.655,89.53,88.612
04/25/2025,88.89,22513930,88.90,89.105,88.595
04/24/2025,88.24,24190770,88.03,88.35,87.76
04/23/2025,87.32,44082160,88.88,89.06,87.1701
04/22/2025,86.48,32552090,86.82,87.0212,86.40
04/21/2025,86.00,39343220,86.60,87.07,85.98
04/17/2025,87.53,31758430,88.04,88.20,87.23
04/16/2025,88.31,35607340,87.80,88.50,87.47
04/15/2025,87.82,22553900,87.15,88.185,87.035
04/14/2025,87.51,37596370,87.40,87.71,86.815
04/11/2025,86.89,94814140,85.87,87.2993,85.00
04/10/2025,86.42,78591990,87.74,88.175,86.3501
04/09/2025,88.87,131353500,87.27,88.91,85.89
04/08/2025,88.35,73861860,89.28,90.20,88.22
04/07/2025,90.05,124987600,91.88,92.19,89.795
04/04/2025,92.85,92794210,93.65,94.09,92.82
04/03/2025,91.85,57467360,92.52,92.73,91.84
04/02/2025,91.43,43488410,92.37,92.37,90.66
04/01/2025,91.49,39800070,91.25,91.905,91.21
03/31/2025,91.03,38824320,91.23,91.335,90.36
03/28/2025,90.14,39869370,89.88,90.34,89.81
03/27/2025,88.91,23674540,88.85,89.025,88.63
03/26/2025,89.17,25165320,89.39,89.595,89.09
03/25/2025,89.76,22333830,89.57,90.08,89.51
03/24/2025,89.77,27985580,90.20,90.255,89.70
03/21/2025,90.70,29192080,91.33,91.435,90.62
03/20/2025,91.24,35645820,92.20,92.24,91.155
03/19/2025,91.18,31378710,90.68,91.22,90.38
03/18/2025,90.71,23654750,90.14,91.02,90.12
03/17/2025,90.62,26700280,90.80,91.18,90.38
03/14/2025,90.17,24657990,90.01,90.41,89.86
03/13/2025,90.65,38675410,89.58,90.71,89.375
03/12/2025,89.86,32734570,90.00,90.38,89.78
03/11/2025,90.40,40555670,90.965,91.4905,90.14
03/10/2025,91.05,41440750,91.08,91.625,90.91
03/07/2025,90.11,36903630,91.14,91.16,89.985
03/06/2025,90.40,42827470,90.48,90.80,89.7337
03/05/2025,90.70,50215940,91.56,91.80,90.61
03/04/2025,91.43,56721960,92.44,92.79,91.265
03/03/2025,92.57,42904170,91.41,92.71,91.37
02/28/2025,92.43,49388600,91.85,92.475,91.4701
02/27/2025,91.31,53373570,91.31,91.79,91.14
02/26/2025,91.96,32220190,91.42,92.06,91.20
02/25/2025,91.42,50125050,90.97,91.50,90.80
02/24/2025,89.87,26217990,89.33,90.06,89.26
02/21/2025,89.61,46912350,88.87,89.93,88.82
02/20/2025,88.54,27913440,88.45,88.76,88.45
02/19/2025,88.21,20584300,87.95,88.45,87.885
02/18/2025,88.10,29429170,88.54,88.84,88.04
02/14/2025,89.15,27460740,89.38,89.68,89.12
02/13/2025,88.68,42718100,88.09,88.89,88.07
02/12/2025,87.23,48536210,87.29,87.60,86.8601
02/11/2025,88.43,21513020,88.53,88.68,88.375
02/10/2025,89.00,22736060,89.264,89.53,88.85
02/07/2025,89.27,31171250,89.24,89.45,88.935
02/06/2025,89.85,22509940,89.86,90.15,89.545
02/05/2025,89.89,48331180,89.45,90.175,89.39
02/04/2025,88.43,33413960,87.55,88.4499,87.48
02/03/2025,88.16,70657230,88.575,89.10,87.80
01/31/2025,87.76,48812470,88.38,88.66,87.43
01/30/2025,88.34,25094900,88.41,88.705,88.17
01/29/2025,88.01,25342750,88.43,88.615,87.63
01/28/2025,88.19,25519110,87.84,88.20,87.6591
01/27/2025,88.25,42864200,88.155,88.43,87.85
01/24/2025,87.22,21110360,86.72,87.28,86.60
01/23/2025,86.83,31949020,86.64,86.99,86.525
01/22/2025,87.51,25278410,87.87,87.98,87.32
01/21/2025,87.97,30548610,87.89,88.17,87.63
01/17/2025,87.19,29875610,87.43,87.48,87.04
01/16/2025,87.04,34651050,86.64,87.395,86.28
01/15/2025,86.76,54120730,86.695,86.975,86.395
01/14/2025,85.29,33412890,85.23,85.36,84.89
01/13/2025,85.43,33258920,85.53,85.66,85.04
01/10/2025,85.46,47115830,85.28,85.845,85.16
01/08/2025,86.03,44590770,85.47,86.20,85.34
01/07/2025,85.92,41757190,86.60,86.77,85.79
01/06/2025,86.90,30231490,87.05,87.23,86.67
