Date,Close/Last,Volume,Open,High,Low
03/04/2025,495.55,67875400,494.18,503.74,487.735
03/03/2025,497.05,44587200,511.52,513.04,493.58
02/28/2025,508.17,47654040,500.13,508.78,496.93
02/27/2025,500.27,52447970,518.13,519.0699,500.05
02/26/2025,514.56,34457620,515.53,519.66,511.37
02/25/2025,513.32,48940030,519.24,519.32,509.44
02/24/2025,519.87,39268390,527.88,529.069,519.53
02/21/2025,526.08,47093750,538.38,538.40,525.71
02/20/2025,537.23,26550750,538.73,539.10,532.46
02/19/2025,539.52,19666860,538.57,540.81,536.46
02/18/2025,539.37,20565030,539.73,540.00,536.04
02/14/2025,538.15,17862570,536.005,538.84,535.67
02/13/2025,535.90,28714800,529.98,536.22,529.19
02/12/2025,528.30,25009360,522.30,529.19,521.95
02/11/2025,527.99,19325500,525.96,529.92,525.83
02/10/2025,529.25,20852780,527.22,530.3571,526.75
02/07/2025,522.92,29605470,530.14,532.10,522.19
02/06/2025,529.60,19434450,527.36,529.81,525.7413
02/05/2025,526.85,21134070,521.82,527.01,520.62
02/04/2025,524.47,26046750,518.63,525.11,518.23
02/03/2025,518.11,40580840,513.47,520.8496,511.05
01/31/2025,522.29,38845470,526.92,531.5178,521.19
01/30/2025,523.05,27431300,523.71,526.095,518.21
01/29/2025,520.83,26649010,522.46,522.59,516.8988
01/28/2025,521.81,33194210,515.22,523.00,511.78
01/27/2025,514.21,60771700,511.00,517.99,510.15
01/24/2025,529.63,19878250,533.02,533.79,528.15
01/23/2025,532.64,23096590,529.04,532.76,528.45
01/22/2025,531.51,33592990,529.57,533.82,529.26
01/21/2025,524.80,23627970,524.48,525.97,520.06
01/17/2025,521.74,51837940,522.85,524.0733,513.1086
01/16/2025,513.08,28229040,518.98,519.0599,512.95
01/15/2025,516.70,34957550,513.03,517.85,511.46
01/14/2025,505.08,33737240,508.74,510.155,501.59
01/13/2025,505.56,31694210,501.20,506.02,499.70
